id,gender,age,annual_income,spending_score,perf_shop_meth,member_level
8143,Female,74,29404.75,71,Online,none
8144,Male,42,55803.93,90,InStore,gold
8145,Female,61,29536.06,65,Online,gold
8146,Female,73,47318.68,85,InStore,none
8147,Female,55,33165,82,InStore,none
8148,Female,58,-4085.48,71,InStore,gold
8149,Male,53,34250.52,41,Online,gold
8150,Male,36,66145.29,71,InStore,silver
8151,Female,64,35844.67,76,Online,none
8152,Female,74,73632.17,75,InStore,gold
8153,Female,51,73141.55,64,InStore,none
8154,Female,22,31613.9,61,InStore,silver
8155,Female,65,17117.6,71,BOPS,none
8156,Male,55,82311.42,94,Online,gold
8157,Bigender,81,91311.81,36,Online,none
8158,Agender,18,34523.96,41,InStore,none
8159,Female,35,65042.89,49,InStore,none
8160,Female,46,13089.26,64,Online,silver
8161,Genderfluid,22,62661.76,42,InStore,none
8162,Male,64,30376.39,66,InStore,silver
8163,Male,58,32598.69,76,Online,none
8164,Male,51,86953.14,51,InStore,gold
8165,Male,43,25819.73,35,InStore,silver
8166,Female,79,49748.32,39,Online,gold
8167,Female,53,12326.27,41,InStore,silver
8168,Female,24,25803.09,53,InStore,none
8169,Female,64,20973.34,77,Online,gold
8170,Male,47,67945.03,74,InStore,gold
8171,Male,70,75912.6,52,Online,none
8172,Female,18,92251.42,77,InStore,none
8173,Female,34,61591.72,72,InStore,silver
8174,Female,69,26838.86,83,InStore,silver
8175,Female,54,90132.3,77,Online,none
8176,Female,54,76927.17,93,InStore,none
8177,Agender,23,45540.97,36,InStore,none
8178,Male,61,69208.24,80,InStore,silver
8179,Male,22,34678.06,82,BOPS,silver
8180,Female,60,112687.52,51,InStore,none
8181,Male,69,44581.6,39,Online,gold
8182,Female,61,50766.74,59,Online,gold
8183,Male,72,54175.97,39,InStore,none
8184,Male,82,72491.85,73,InStore,gold
8185,Male,21,18012.65,88,Online,none
8186,Male,70,86595.83,73,InStore,gold
8187,Female,41,45752.13,71,InStore,none
8188,Male,18,38488.67,78,Online,none
8189,Female,46,94646.78,46,InStore,none
8190,Male,65,100044.02,55,InStore,none
8191,Male,64,40434.43,71,Online,silver
8192,Female,41,85296.43,47,InStore,none
8193,Female,51,43717.73,70,InStore,none
8194,Male,39,89664.14,71,InStore,none
8195,Female,67,103741.75,90,InStore,none
8196,Male,21,67561.82,71,BOPS,none
8197,Male,25,62697.27,80,InStore,gold
8198,Male,56,86712.57,89,InStore,none
8199,Female,38,54932.87,67,InStore,silver
8200,Polygender,53,61594.34,82,InStore,silver
8201,Female,51,65572.33,58,Online,none
8202,Non-binary,37,-7750.21,71,InStore,silver
8203,Genderqueer,28,56373.77,57,InStore,none
8204,Female,68,70171.35,44,Online,gold
8205,Female,18,78988.38,63,InStore,gold
8206,Male,54,30720.83,52,Online,none
8207,Female,65,45153.28,87,InStore,silver
8208,Genderfluid,48,56807.52,58,Online,none
8209,Polygender,57,87142.55,78,Online,none
8210,Female,57,114755.16,71,InStore,gold
8211,Male,31,53708.01,71,InStore,none
8212,Male,50,62767.21,37,InStore,gold
8213,Female,47,48574.03,67,InStore,none
8214,Male,19,45127.58,90,Online,none
8215,Male,74,47153.66,60,Online,silver
8216,Male,25,49721.62,51,InStore,silver
8217,Female,41,45176.37,83,Online,gold
8218,Male,83,76394.22,88,Online,platinum
8219,Female,31,75808.68,46,InStore,none
8220,Female,38,49660.58,42,InStore,none
8221,Female,41,67173.18,83,InStore,silver
8222,Female,54,110919.86,51,Online,none
8223,Male,39,71076.53,63,InStore,none
8224,Male,36,68444.8,77,InStore,none
8225,Male,27,68449.8,93,InStore,silver
8226,Male,62,79754.24,46,InStore,platinum
8227,Female,56,67876.42,36,InStore,none
8228,Female,31,61166.22,48,InStore,none
8229,Male,41,51422.25,76,BOPS,none
8230,Male,80,50974.19,86,InStore,gold
8231,Male,50,46986.54,66,InStore,gold
8232,Bigender,35,52492.92,40,Online,none
8233,Female,67,52601.94,63,InStore,none
8234,Female,75,74813.66,93,BOPS,none
8235,Female,21,50577.77,72,Online,none
8236,Male,65,60957.21,94,Online,none
8237,Male,23,93588.6,89,Online,gold
8238,Female,40,28697.68,87,InStore,none
8239,Male,77,59117.81,41,InStore,none
8240,Female,54,20733.09,80,InStore,silver
8241,Male,25,37301.8,69,InStore,silver
8242,Polygender,40,21154.6,71,InStore,silver
8243,Male,46,99340.25,38,Online,none
8244,Male,28,62456.29,75,InStore,none
8245,Male,59,38616.01,70,InStore,silver
8246,Male,56,50784.37,47,BOPS,none
8247,Female,59,42977.56,82,InStore,silver
8248,Female,49,89481.22,75,InStore,silver
8249,Female,81,80295.32,91,Online,silver
8250,Male,76,29069.35,52,Online,none
8251,Male,26,11572.78,81,Online,gold
8252,Female,66,79220.92,49,Online,none
8253,Female,58,36045.82,65,Online,silver
8254,Agender,83,6608.79,46,InStore,gold
8255,Male,82,33493.19,73,InStore,silver
8256,Male,59,60572.85,72,InStore,silver
8257,Male,79,70998.71,91,InStore,gold
8258,Female,55,74569.97,41,InStore,silver
8259,Male,48,46483.72,68,InStore,silver
8260,Female,23,46833.17,50,InStore,none
8261,Female,40,49094.75,54,InStore,none
8262,Male,48,59761.79,41,Online,silver
8263,Female,21,30071.23,36,Online,none
8264,Male,71,54312.36,41,InStore,gold
8265,Female,53,49236.22,41,BOPS,none
8266,Female,36,59472.32,60,Online,gold
8267,Male,75,15747.4,59,InStore,none
8268,Male,69,61404.18,35,InStore,none
8269,Female,81,46664.16,42,InStore,silver
8270,Female,32,62996.66,39,InStore,silver
8271,Male,59,65574.05,46,Online,none
8272,Female,21,47231.91,48,Online,none
8273,Female,58,84588.44,51,BOPS,none
8274,Male,76,77623.12,93,Online,silver
8275,Female,82,58975.32,64,Online,platinum
8276,Male,24,72415.5,77,Online,none
8277,Male,45,79892.52,78,Online,none
8278,Male,79,47738.23,45,InStore,gold
8279,Female,53,-2345.64,92,Online,none
8280,Male,78,34992.51,55,InStore,silver
8281,Female,66,25842.15,91,InStore,none
8282,Male,75,73759.22,93,InStore,silver
8283,Female,73,85987.34,87,InStore,none
8284,Female,27,54269.45,47,InStore,gold
8285,Female,19,67719.74,88,Online,gold
8286,Male,70,58860.34,65,InStore,none
8287,Female,68,65029.08,73,InStore,none
8288,Female,67,76512.45,64,Online,none
8289,Female,39,41317.35,59,InStore,none
8290,Agender,32,51512.39,64,Online,none
8291,Male,58,79665.55,82,InStore,silver
8292,Female,81,27610.64,77,Online,none
8293,Female,18,53353.09,71,BOPS,none
8294,Male,65,77958.85,41,Online,silver
8295,Female,62,46030.84,87,InStore,gold
8296,Female,46,22996.85,89,InStore,none
8297,Female,59,15470.74,69,Online,none
8298,Female,71,31144.89,79,Online,gold
8299,Male,32,75980.05,67,InStore,gold
8300,Male,60,70332.23,79,InStore,silver
8301,Female,58,81108.75,42,Online,silver
8302,Male,30,62711.24,55,InStore,none
8303,Female,23,18759.05,48,InStore,gold
8304,Male,33,83159.3,89,BOPS,none
8305,Male,56,89405.31,47,InStore,none
8306,Non-binary,67,41680.86,91,BOPS,platinum
8307,Male,39,46373.78,70,InStore,none
8308,Agender,48,60545.03,68,InStore,none
8309,Male,24,59209,80,InStore,none
8310,Female,55,65369.65,60,Online,silver
8311,Male,69,29149.64,56,InStore,silver
8312,Male,43,101932.65,62,InStore,silver
8313,Male,80,55529.07,41,Online,none
8314,Male,39,41561.53,68,Online,gold
8315,Male,35,7091.4,68,InStore,gold
8316,Female,63,34937.18,59,InStore,none
8317,Female,43,68720.77,93,Online,none
8318,Female,30,38908.7,62,InStore,none
8319,Male,66,35254.21,93,InStore,none
8320,Male,69,74052.51,88,InStore,none
8321,Female,30,78411.88,39,InStore,none
8322,Female,76,26214,44,Online,gold
8323,Male,80,61520.28,91,Online,none
8324,Male,29,70606.89,68,Online,silver
8325,Female,63,45244.24,57,BOPS,none
8326,Genderfluid,29,65320.68,93,InStore,silver
8327,Female,81,37745.84,68,InStore,none
8328,Male,36,58998.37,43,Online,none
8329,Male,52,102987.64,41,InStore,none
8330,Male,44,68485.56,84,InStore,silver
8331,Female,41,65452.55,63,InStore,gold
8332,Male,26,49463.87,62,InStore,none
8333,Female,31,19176.87,84,Online,silver
8334,Female,49,53865.51,79,Online,none
8335,Female,31,133355.54,52,Online,none
8336,Female,43,68232.12,70,InStore,gold
8337,Male,33,53285.66,75,InStore,silver
8338,Male,50,34042.01,41,InStore,none
8339,Male,76,73242.33,45,InStore,silver
8340,Male,41,8734.59,35,InStore,none
8341,Agender,42,78024,88,InStore,gold
8342,Female,69,75701.31,44,InStore,none
8343,Male,53,42266.61,80,InStore,silver
8344,Female,21,49614.28,38,Online,none
8345,Female,43,87754.48,81,InStore,none
8346,Female,54,31794.47,82,BOPS,none
8347,Genderfluid,69,-15011.63,91,InStore,silver
8348,Female,51,81210.34,76,InStore,gold
8349,Male,25,88068.43,84,InStore,silver
8350,Male,68,86336.75,89,InStore,platinum
8351,Male,18,115833.37,79,InStore,silver
8352,Female,74,75694.59,47,Online,silver
8353,Female,78,-2995.38,93,Online,silver
8354,Male,40,47013.29,85,InStore,silver
8355,Female,51,73750.51,42,InStore,none
8356,Male,37,37415.37,42,Online,silver
8357,Male,63,35005.83,72,InStore,none
8358,Female,23,88469.45,61,Online,none
8359,Male,67,60986.78,42,InStore,silver
8360,Female,29,67801.74,88,InStore,silver
8361,Female,32,56426.1,77,InStore,none
8362,Genderfluid,71,33521.03,58,BOPS,none
8363,Female,79,21009.87,46,Online,none
8364,Male,79,61872.64,74,Online,silver
8365,Female,53,52518.98,42,Online,platinum
8366,Male,64,67591.48,91,InStore,platinum
8367,Female,72,87928.64,72,InStore,silver
8368,Male,70,55710.84,59,Online,none
8369,Male,77,30522.63,37,InStore,silver
8370,Male,58,43066.5,73,InStore,silver
8371,Male,38,60841.99,80,Online,silver
8372,Female,24,84976.08,67,Online,silver
8373,Male,21,57849.78,89,Online,none
8374,Male,22,28129.91,90,Online,gold
8375,Female,55,23927.61,52,InStore,gold
8376,Male,72,70290.43,87,InStore,none
8377,Male,35,3441.31,42,InStore,gold
8378,Female,18,51741.85,68,InStore,silver
8379,Female,33,37984.95,70,Online,none
8380,Male,48,22018.87,36,InStore,silver
8381,Bigender,82,8283.73,59,InStore,none
8382,Female,28,76597.3,72,Online,silver
8383,Female,56,56063.17,65,InStore,none
8384,Male,45,52235.74,48,Online,silver
8385,Male,68,56681.94,63,InStore,none
8386,Female,66,51907.29,79,Online,none
8387,Female,18,46051.38,66,InStore,silver
8388,Male,63,56128.05,56,Online,none
8389,Female,56,73202.28,42,InStore,platinum
8390,Female,62,22553.38,78,InStore,gold
8391,Male,53,14445.79,38,InStore,gold
8392,Female,54,84440.42,46,InStore,none
8393,Male,22,58617.92,37,InStore,platinum
8394,Male,44,55519.73,72,InStore,gold
8395,Male,18,42539.27,66,InStore,silver
8396,Male,44,11065.79,38,InStore,none
8397,Female,78,44134.79,55,InStore,platinum
8398,Male,51,34380.46,47,Online,none
8399,Male,31,19310.8,67,InStore,none
8400,Female,75,25334.89,53,InStore,none
8401,Male,67,64291.46,92,InStore,none
8402,Polygender,77,79245.82,86,Online,none
8403,Female,64,38794.44,43,InStore,none
8404,Male,25,36914.55,94,InStore,none
8405,Female,83,90785.38,37,InStore,none
8406,Female,45,35005.87,48,InStore,none
8407,Female,71,32956.25,37,Online,none
8408,Male,82,48562.09,40,InStore,silver
8409,Male,71,75320.33,87,Online,gold
8410,Male,65,23770.42,48,InStore,none
8411,Male,55,72227.51,78,InStore,none
8412,Male,24,47602.7,42,Online,silver
8413,Male,75,87010.13,48,BOPS,silver
8414,Female,35,74278.85,86,InStore,none
8415,Male,22,7552.34,36,InStore,none
8416,Male,25,60800.39,42,InStore,gold
8417,Female,27,13097.68,92,InStore,silver
8418,Male,51,48451.39,71,InStore,none
8419,Male,71,55422.88,70,InStore,silver
8420,Female,69,53444.84,49,InStore,gold
8421,Female,52,81204.93,92,Online,none
8422,Male,72,60074.89,68,InStore,silver
8423,Female,65,67938.52,57,Online,none
8424,Male,37,14734.26,87,InStore,none
8425,Female,78,32527.13,72,InStore,silver
8426,Genderqueer,44,25226.55,59,Online,none
8427,Male,43,70635.27,79,InStore,silver
8428,Male,76,55951.77,47,Online,silver
8429,Female,33,19367.32,53,InStore,platinum
8430,Male,38,34173.11,64,InStore,none
8431,Male,43,51370.29,63,InStore,none
8432,Agender,53,67965.62,63,InStore,none
8433,Male,72,28013.03,36,InStore,gold
8434,Male,60,77150.09,38,Online,gold
8435,Female,77,59866.69,86,Online,gold
8436,Female,81,26192.47,62,InStore,none
8437,Female,55,48373.22,47,Online,none
8438,Male,38,38022.1,82,InStore,gold
8439,Female,65,68937.19,84,Online,none
8440,Female,47,14007.64,70,Online,silver
8441,Male,81,43486.25,65,InStore,none
8442,Female,20,71724.01,90,Online,none
8443,Male,67,74406.72,40,InStore,none
8444,Genderqueer,29,58458.65,81,InStore,silver
8445,Male,66,93399.36,75,Online,silver
8446,Male,77,10168.67,56,InStore,none
8447,Non-binary,53,27450.67,92,InStore,none
8448,Female,79,26978.66,69,Online,gold
8449,Female,24,89750.97,94,InStore,none
8450,Male,30,64019.5,64,Online,none
8451,Male,46,70130.55,41,InStore,none
8452,Female,82,67617.56,91,Online,none
8453,Male,54,69535.66,81,InStore,none
8454,Female,35,71789.29,69,InStore,none
8455,Female,47,104543.87,89,Online,none
8456,Male,68,65981.53,87,InStore,silver
8457,Female,49,38522.1,58,Online,none
8458,Male,56,62830.86,85,Online,gold
8459,Male,18,48688.1,70,InStore,platinum
8460,Female,65,30883.81,85,InStore,silver
8461,Male,22,62010.2,91,InStore,none
8462,Male,71,47705.14,48,Online,silver
8463,Male,60,30545.11,73,Online,none
8464,Female,47,54367.86,94,Online,silver
8465,Female,36,50328.08,88,Online,none
8466,Male,29,82974.26,39,InStore,none
8467,Male,50,47347.13,51,Online,gold
8468,Male,51,17258.62,79,Online,none
8469,Female,68,49192.44,61,Online,platinum
8470,Female,27,-480.98,70,InStore,silver
8471,Female,39,31883.18,68,InStore,silver
8472,Female,83,47646.67,74,Online,silver
8473,Female,48,85956.67,67,InStore,silver
8474,Female,31,25508.36,92,InStore,silver
8475,Male,35,59689.85,85,BOPS,silver
8476,Female,40,64496.67,91,Online,gold
8477,Genderfluid,45,57117.34,74,InStore,none
8478,Female,25,32893.94,49,Online,gold
8479,Female,81,132515.5,70,Online,none
8480,Female,20,86635.5,55,Online,none
8481,Male,70,90194.15,94,InStore,none
8482,Polygender,49,38350.99,54,InStore,silver
8483,Female,54,56473.88,76,InStore,none
8484,Female,27,42294.91,62,InStore,none
8485,Male,44,59039.36,77,Online,silver
8486,Female,52,101124.9,88,Online,none
8487,Female,35,45322.04,58,InStore,silver
8488,Male,24,78682.53,41,InStore,none
8489,Male,79,32562.94,52,InStore,none
8490,Female,58,54022.83,73,Online,none
8491,Male,34,28953.52,56,InStore,none
8492,Male,70,61903.11,63,Online,gold
8493,Female,72,94532.73,52,InStore,none
8494,Male,35,64465.02,92,Online,silver
8495,Male,67,79169.82,88,InStore,gold
8496,Male,19,42864.7,69,InStore,none
8497,Female,52,9974.45,87,Online,none
8498,Female,34,45494.01,93,Online,silver
8499,Female,72,35528.31,52,InStore,silver
8500,Agender,48,-5194.66,44,InStore,none
8501,Female,56,92250.61,73,Online,none
8502,Female,64,20838.96,59,Online,none
8503,Male,19,68731.48,60,InStore,silver
8504,Male,47,30156.77,37,Online,gold
8505,Female,18,21565.18,43,Online,none
8506,Male,76,23582.81,35,Online,none
8507,Female,46,35111.54,70,InStore,none
8508,Female,38,52334.73,44,InStore,none
8509,Male,42,59120,36,Online,silver
8510,Agender,20,70259.46,44,InStore,silver
8511,Female,24,41060.64,50,InStore,none
8512,Female,57,70240.7,49,InStore,silver
8513,Male,50,18326.56,88,InStore,none
8514,Female,42,32660.65,52,InStore,gold
8515,Male,55,17553.12,56,InStore,platinum
8516,Male,35,62469.4,59,Online,none
8517,Female,48,70952.78,37,Online,none
8518,Female,47,36562.77,80,Online,gold
8519,Male,48,56669.11,91,Online,none
8520,Male,82,11477.84,57,Online,none
8521,Female,62,23684.75,54,BOPS,none
8522,Male,29,48263.38,47,BOPS,none
8523,Male,71,40907.72,74,Online,none
8524,Male,38,92977.69,39,InStore,none
8525,Female,72,52613.29,38,InStore,silver
8526,Male,61,22456.83,58,InStore,silver
8527,Male,27,26935.63,63,Online,platinum
8528,Male,80,50264,58,InStore,none
8529,Male,49,9364.36,68,InStore,none
8530,Female,51,12178.78,87,Online,none
8531,Male,30,71070.75,82,InStore,none
8532,Female,77,66160.32,60,Online,none
8533,Male,22,76334.21,51,Online,none
8534,Female,68,82379.43,58,InStore,silver
8535,Male,39,90338,35,InStore,gold
8536,Female,59,28963.24,45,Online,silver
8537,Male,55,54851.49,93,InStore,none
8538,Female,35,37404.81,54,BOPS,gold
8539,Female,33,69132.57,78,Online,silver
8540,Male,77,118826.14,94,InStore,platinum
8541,Agender,32,35898.28,42,Online,platinum
8542,Male,79,64043.38,80,Online,none
8543,Male,19,50197.6,70,InStore,none
8544,Male,37,22445.7,40,InStore,none
8545,Female,49,28965.46,61,InStore,none
8546,Female,55,55022.43,91,BOPS,none
8547,Female,58,22165.02,58,BOPS,none
8548,Male,72,21352.5,38,InStore,silver
8549,Female,81,61352.01,73,InStore,silver
8550,Female,67,84283.4,64,Online,none
8551,Female,58,57346.93,94,InStore,none
8552,Female,75,88260.26,88,InStore,silver
8553,Bigender,49,58630.88,63,BOPS,silver
8554,Male,26,72393.28,59,InStore,none
8555,Male,31,23177.91,66,BOPS,none
8556,Male,54,75045.51,64,InStore,none
8557,Non-binary,80,68380.55,86,Online,none
8558,Male,41,38890.51,36,Online,none
8559,Female,37,19708.32,82,InStore,none
8560,Male,38,55640.83,66,InStore,silver
8561,Male,46,81362.17,60,InStore,silver
8562,Male,44,37760.74,87,InStore,none
8563,Agender,59,99969.85,46,Online,none
8564,Agender,29,60144.36,66,InStore,silver
8565,Female,25,77178.84,69,Online,silver
8566,Polygender,52,13284.3,70,InStore,none
8567,Female,54,20151.49,63,InStore,none
8568,Male,74,42225.63,75,InStore,none
8569,Female,77,107128.29,40,BOPS,none
8570,Male,74,81906.68,39,Online,none
8571,Male,39,53362.76,68,Online,gold
8572,Agender,36,91194.86,84,InStore,none
8573,Male,61,25444.28,70,Online,gold
8574,Female,30,54201.18,35,BOPS,none
8575,Male,19,43239.93,41,InStore,none
8576,Male,42,45658.53,58,Online,silver
8577,Female,63,80038.27,94,InStore,none
8578,Female,69,83472.9,61,InStore,none
8579,Female,81,81706.87,85,InStore,none
8580,Male,34,20127.37,48,InStore,silver
8581,Female,43,41532.43,41,InStore,none
8582,Female,83,62911.27,85,InStore,none
8583,Male,69,27307.96,46,Online,none
8584,Male,22,87624.6,77,InStore,none
8585,Male,74,103058.7,90,Online,silver
8586,Male,34,116054.79,88,InStore,gold
8587,Male,56,67620.63,90,Online,none
8588,Female,37,42299.58,62,Online,none
8589,Male,45,92598.71,74,InStore,platinum
8590,Male,33,41952.81,63,Online,none
8591,Male,51,76024.37,48,Online,none
8592,Male,55,64600.13,71,InStore,silver
8593,Male,56,26864.99,86,InStore,silver
8594,Female,63,64409.43,59,InStore,none
8595,Female,42,56208.79,48,InStore,none
8596,Female,30,58718.51,80,Online,none
8597,Agender,76,55616.68,53,InStore,gold
8598,Male,42,57726.28,43,Online,gold
8599,Female,70,78158.63,49,Online,silver
8600,Female,35,41626.06,46,InStore,platinum
8601,Male,32,61122.27,71,Online,platinum
8602,Male,80,23372.43,64,InStore,silver
8603,Female,27,41150.1,68,InStore,silver
8604,Male,66,80187.58,64,InStore,none
8605,Female,56,67287.95,73,InStore,silver
8606,Male,21,44129.74,54,InStore,silver
8607,Female,26,36445.17,36,InStore,gold
8608,Female,77,77493,61,Online,none
8609,Male,51,53454.08,51,InStore,silver
8610,Male,26,18935.11,52,Online,silver
8611,Non-binary,53,47415.32,79,InStore,silver
8612,Male,48,84599.77,48,Online,silver
8613,Female,27,64140.72,56,InStore,none
8614,Male,72,91493.82,48,Online,none
8615,Female,81,72887.86,72,BOPS,silver
8616,Male,36,56700.99,40,Online,platinum
8617,Female,76,47854.33,49,Online,none
8618,Genderqueer,64,84821.7,51,Online,silver
8619,Female,69,103971.71,64,Online,silver
8620,Male,37,29164.88,49,Online,gold
8621,Female,44,88490.56,40,BOPS,silver
8622,Female,37,34998.93,90,InStore,none
8623,Female,61,55599.93,72,InStore,none
8624,Female,43,47724.27,51,Online,none
8625,Male,65,20029.22,39,InStore,platinum
8626,Male,18,38652.47,40,Online,none
8627,Male,70,69508.42,52,Online,none
8628,Genderfluid,21,64752.05,45,InStore,gold
8629,Male,41,34711.29,62,InStore,silver
8630,Female,38,65546.44,76,InStore,none
8631,Male,27,94258,93,Online,none
8632,Male,77,40048.61,92,InStore,silver
8633,Female,22,45254.32,60,InStore,none
8634,Female,35,70036.5,89,InStore,none
8635,Male,22,37411.5,71,Online,none
8636,Female,65,90285.39,58,InStore,gold
8637,Female,29,64668.33,75,InStore,none
8638,Female,34,25308.46,40,InStore,none
8639,Female,18,51009.78,44,Online,silver
8640,Female,49,76496.32,77,InStore,gold
8641,Female,83,82254.25,66,InStore,none
8642,Female,83,94891.05,47,InStore,none
8643,Female,21,32986.6,80,InStore,none
8644,Female,42,74176.82,67,Online,none
8645,Female,82,69439.53,62,BOPS,silver
8646,Female,73,42415.44,39,InStore,gold
8647,Male,41,96377.37,37,Online,none
8648,Male,42,10052.32,42,Online,silver
8649,Female,56,52178.99,69,InStore,none
8650,Female,64,51939.13,91,BOPS,gold
8651,Male,36,66728.19,66,InStore,silver
8652,Male,38,51229.11,74,InStore,none
8653,Male,63,59747.97,75,Online,none
8654,Female,69,7215.42,41,Online,none
8655,Male,80,57331.57,41,Online,none
8656,Male,51,46421.05,89,InStore,silver
8657,Female,27,71121.58,79,Online,gold
8658,Male,80,69038.53,43,Online,none
8659,Female,71,37570.9,43,InStore,none
8660,Male,83,79041.07,41,InStore,none
8661,Male,66,53624.89,68,Online,silver
8662,Female,23,56618.88,75,InStore,none
8663,Male,37,66668.94,70,Online,gold
8664,Female,18,41609.79,66,Online,gold
8665,Male,29,34802.61,44,Online,silver
8666,Female,28,15292.44,52,InStore,none
8667,Female,51,3978.3,94,InStore,platinum
8668,Female,66,41173.91,87,InStore,none
8669,Male,77,42026.08,38,InStore,none
8670,Female,31,38914.44,90,Online,gold
8671,Male,65,70703.45,47,Online,none
8672,Male,52,46389.62,56,Online,silver
8673,Non-binary,54,28452.09,60,InStore,none
8674,Agender,28,67610.18,80,InStore,none
8675,Female,78,21182.7,85,InStore,none
8676,Male,68,21153.86,56,BOPS,none
8677,Female,80,42193.71,35,Online,none
8678,Female,38,49550.69,47,InStore,silver
8679,Female,65,75421.78,64,InStore,none
8680,Female,77,60600.64,67,InStore,none
8681,Female,68,69737.27,49,InStore,none
8682,Agender,21,31300.65,84,InStore,silver
8683,Male,33,43322.84,72,BOPS,none
8684,Male,62,85744.24,67,InStore,none
8685,Female,78,48584.82,88,Online,none
8686,Male,19,24189.31,76,Online,gold
8687,Male,64,49898.69,54,InStore,none
8688,Male,22,55023.09,50,InStore,silver
8689,Female,79,29054.05,58,BOPS,none
8690,Female,66,52043.24,54,Online,silver
8691,Polygender,21,64369.99,66,InStore,none
8692,Female,54,13350.8,36,InStore,platinum
8693,Female,71,83209.21,43,Online,none
8694,Male,35,64362.24,72,Online,silver
8695,Female,40,55628.8,89,BOPS,none
8696,Female,23,29752.8,60,InStore,gold
8697,Female,28,60876.67,72,InStore,gold
8698,Genderqueer,46,62559.5,39,InStore,none
8699,Male,62,57423.9,89,InStore,none
8700,Female,19,2918.53,68,Online,gold
8701,Male,78,23304.9,36,InStore,silver
8702,Female,62,52043.58,85,InStore,none
8703,Agender,36,67280.33,38,InStore,none
8704,Female,46,49923.61,35,InStore,silver
8705,Male,63,91013.1,40,InStore,none
8706,Female,24,46429.29,38,InStore,none
8707,Male,73,54377.57,82,Online,silver
8708,Male,33,68358.29,47,Online,silver
8709,Male,55,15790.07,49,InStore,none
8710,Female,69,33338.53,40,BOPS,none
8711,Male,24,33159.02,46,Online,none
8712,Male,54,26022.52,49,InStore,none
8713,Female,32,50328.62,89,Online,none
8714,Male,83,70763.72,72,Online,silver
8715,Male,19,28086.72,87,InStore,silver
8716,Female,48,54581.13,51,InStore,none
8717,Female,43,70155.47,72,InStore,silver
8718,Female,28,73048.45,52,InStore,none
8719,Agender,78,70484.79,66,InStore,none
8720,Female,63,83119.98,53,InStore,gold
8721,Female,49,36762.72,88,InStore,silver
8722,Male,63,101347.45,59,Online,gold
8723,Female,56,50689.55,92,Online,silver
8724,Male,43,63247.21,75,InStore,none
8725,Male,67,65171.67,63,Online,gold
8726,Male,31,91277.59,78,InStore,none
8727,Genderqueer,71,63723.54,78,InStore,silver
8728,Female,60,50405.25,53,Online,none
8729,Male,18,64370,37,InStore,gold
8730,Female,52,87366.22,36,InStore,gold
8731,Male,66,64782.91,89,InStore,gold
8732,Female,45,39054.23,43,BOPS,gold
8733,Male,68,60284.82,47,InStore,none
8734,Male,27,68212.12,53,InStore,none
8735,Female,22,29826.89,79,Online,gold
8736,Female,35,22823.91,88,InStore,silver
8737,Genderqueer,74,40627.5,51,Online,silver
8738,Bigender,53,98857.8,63,InStore,silver
8739,Female,48,34756.35,42,Online,silver
8740,Female,45,97774.36,81,Online,none
8741,Male,29,15818.37,76,InStore,none
8742,Male,50,19272.45,75,InStore,none
8743,Female,28,33400.26,77,InStore,silver
8744,Female,20,54917.3,54,BOPS,none
8745,Female,51,22729.52,62,InStore,silver
8746,Male,76,84967.06,63,Online,none
8747,Female,80,129157.29,70,InStore,silver
8748,Male,49,32087.74,78,Online,none
8749,Male,57,50356.65,63,InStore,gold
8750,Male,39,57921.96,56,InStore,silver
8751,Female,56,48575.88,89,Online,silver
8752,Male,29,65769.23,79,InStore,none
8753,Female,71,44543.27,63,Online,silver
8754,Male,44,94411.8,51,Online,none
8755,Female,75,72234.01,91,InStore,none
8756,Male,38,44383.8,76,InStore,gold
8757,Female,73,25999.43,43,BOPS,silver
8758,Male,31,52289.58,57,Online,silver
8759,Male,18,61221.78,55,InStore,none
8760,Male,33,90159.07,63,Online,silver
8761,Male,25,83448.38,74,InStore,none
8762,Female,56,58152.33,90,InStore,gold
8763,Female,67,47952.59,53,BOPS,silver
8764,Female,21,41207.93,55,Online,platinum
8765,Male,32,76980.34,40,InStore,platinum
8766,Female,26,72534.13,94,Online,none
8767,Female,72,73670.68,59,InStore,silver
8768,Female,65,76677.55,36,Online,silver
8769,Male,21,64891.62,42,InStore,none
8770,Male,34,48412.12,36,InStore,none
8771,Female,66,3134.52,41,Online,platinum
8772,Male,55,81754.35,50,InStore,none
8773,Male,56,33536.55,93,InStore,none
8774,Male,77,33143.34,52,InStore,none
8775,Bigender,58,31568,36,InStore,silver
8776,Male,77,68980.63,75,InStore,none
8777,Male,71,129677.77,75,InStore,none
8778,Genderfluid,79,73715.7,89,InStore,none
8779,Female,19,79173.57,77,InStore,gold
8780,Female,62,1223.57,41,InStore,none
8781,Male,33,58104.02,52,InStore,none
8782,Female,62,35141.29,38,Online,none
8783,Female,59,50716.11,58,InStore,none
8784,Female,48,64951.99,63,InStore,none
8785,Agender,55,37676.64,58,Online,none
8786,Male,65,30880.06,76,Online,none
8787,Female,21,61802.86,78,Online,silver
8788,Male,51,80003.37,51,InStore,gold
8789,Female,59,42649.53,92,Online,none
8790,Female,53,80240.94,54,Online,none
8791,Male,36,53832.09,48,InStore,silver
8792,Female,22,68717.4,56,InStore,none
8793,Male,19,30422.33,76,InStore,gold
8794,Female,75,41657.07,58,Online,none
8795,Genderfluid,42,100535.46,82,InStore,none
